ID	condition	text	text2	age	gender	hand	resp	RTs	resp_eff	w1	conc1	w2	conc2	sim	delta_conc	freq1	logfreq1	freq2	logfreq2	delta_freq	to_resp	count	distance	Sim	accuracy	trial	L1	L2	L_diff	subj
1	A	latte	fetore	24	M	DX	l	1151	fetore	fetore	4,15	latte	8,45	0,169157	4,3	149	2,173186268	4456	3,648945182	0,04307	fetore	1	0,830843	0,169157	1	fetorelatte	5	6	1	1
1	A	montagna	codardo	24	M	DX	l	1700	codardo	codardo	3,95	montagna	8,3	0,034168	4,35	1349	3,13001195	2987	3,475235223	0,01638	codardo	1	0,965832	0,034168	1	codardomontagna	8	7	1	1
1	A	guarire	ospedale	24	M	DX	a	1625	guarire	guarire	4,9	ospedale	8,45	0,302145	3,55	1073	3,030599722	14272	4,154484837	0,13199	guarire	1	0,697855	0,302145	1	guarireospedale	7	8	1	1
1	A	burro	tenero	24	M	DX	l	2237	tenero	tenero	5,3	burro	8,5	0,239314	3,2	752	2,876217841	1677	3,224533063	0,00925	tenero	1	0,760686	0,239314	1	teneroburro	5	6	1	1
1	A	prestigio	lusso	24	M	DX	a	1306	prestigio	prestigio	2,8	lusso	5,75	0,305096	2,95	351	2,545307116	1313	3,118264726	0,00962	prestigio	1	0,694904	0,305096	1	prestigiolusso	9	5	4	1
1	A	genere	cioccolato	24	M	DX	a	1352	genere	genere	4,3	cioccolato	8,5	0,189818	4,2	20639	4,314688651	2340	3,369215857	0,18299	genere	1	0,810182	0,189818	1	generecioccolato	6	10	4	1
1	A	stanco	divano	24	M	DX	a	1033	stanco	stanco	5,05	divano	8,7	0,28261	3,65	4593	3,662096445	2760	3,440909082	0,01833	stanco	1	0,71739	0,28261	1	stancodivano	6	6	0	1
1	A	caos	quaderno	24	M	DX	a	1303	caos	caos	5,75	quaderno	8,65	0,086347	2,9	1500	3,176091259	350	2,544068044	0,0115	caos	1	0,913653	0,086347	1	caosquaderno	4	8	4	1
1	A	opzione	giacca	24	M	DX	a	1469	opzione	opzione	4,5	giacca	8,55	0,141365	4,05	1072	3,030194785	3496	3,543571424	0,02424	opzione	1	0,858635	0,141365	1	opzionegiacca	7	6	1	1
1	A	gomito	astio	24	M	DX	l	1671	astio	astio	4,3	gomito	8,55	0,114827	4,25	57	1,755874856	510	2,707570176	0,00453	astio	1	0,885173	0,114827	1	astiogomito	6	5	1	1
1	A	farfalla	fantasia	24	M	DX	l	2611	fantasia	fantasia	3	farfalla	8,2	0,284001	5,2	1728	3,237543738	632	2,800717078	0,01096	fantasia	1	0,715999	0,284001	1	fantasiafarfalla	8	8	0	1
1	A	grato	abbraccio	24	M	DX	a	1825	grato	grato	3,95	abbraccio	7,7	0,222082	3,75	1725	3,236789099	1300	3,113943352	0,00425	grato	1	0,777918	0,222082	1	gratoabbraccio	5	9	4	1
1	A	vittoria	ombrello	24	M	DX	a	2074	vittoria	vittoria	4,9	ombrello	8,4	0,01647	3,5	3564	3,551937695	513	2,710117365	0,03051	vittoria	1	0,98353	0,01647	1	vittoriaombrello	8	8	0	1
1	A	prete	devoto	24	M	DX	l	1301	devoto	devoto	3,8	prete	8,3	0,233061	4,5	327	2,514547753	2656	3,424228071	0,02329	devoto	1	0,766939	0,233061	1	devotoprete	5	6	1	1
1	A	eccellenza	diamante	24	M	DX	a	946	eccellenza	eccellenza	3,45	diamante	8,05	0,32865	4,6	1723	3,236285277	870	2,939519253	0,00853	eccellenza	1	0,67135	0,32865	1	eccellenzadiamante	10	8	2	1
